attendance_id,employee_id,date,status,time_in,time_out,hours_worked,overtime_hours,notes
1,99,2024-05-27,Відпустка,,,0.0,0.0,
2,103,2024-11-16,Вихідний,,,0.0,0.0,
3,5,2022-08-26,Присутній,2022-08-26 09:47:00,2022-08-26 17:56:00,7.54,0.0,Синок картинка шолом запустити постійний адвокат бетонний. Висіти порт прелесть кільце.
4,36,2024-07-03,Присутній,2024-07-03 10:15:00,2024-07-03 18:44:00,8.4,0.4,Вказаний медицина теорія ручка безпорадний низький шкіра радість. Полюбити жити хата подвірʼя.
5,144,2024-01-26,Присутній,2024-01-26 09:05:00,2024-01-26 18:36:00,7.57,0.0,
6,92,2022-05-03,Присутній,2022-05-03 10:31:00,2022-05-03 19:06:00,7.71,0.0,Диявол пісенька підземний ліхтарик точно витримати.
7,81,2024-10-10,Присутній,2024-10-10 09:18:00,2024-10-10 17:49:00,7.87,0.0,
8,188,2024-10-11,Присутній,2024-10-11 09:41:00,2024-10-11 17:35:00,8.01,0.01,
9,160,2024-12-06,Присутній,2024-12-06 10:07:00,2024-12-06 19:43:00,8.35,0.35,
10,90,2024-06-17,Запізнення,2024-06-17 10:31:00,2024-06-17 19:18:00,6.54,0.0,Командир пристрій юний уникати що-небудь.
11,94,2021-11-03,Запізнення,2021-11-03 10:42:00,2021-11-03 17:05:00,6.46,0.0,
12,111,2024-08-06,Присутній,2024-08-06 08:23:00,2024-08-06 19:34:00,7.67,0.0,
13,47,2023-11-02,Лікарняний,,,0.0,0.0,
14,12,2021-02-22,Присутній,2021-02-22 08:37:00,2021-02-22 19:21:00,8.19,0.19,
15,42,2024-10-02,Присутній,2024-10-02 10:24:00,2024-10-02 17:23:00,7.87,0.0,
16,81,2024-10-10,Присутній,2024-10-10 09:37:00,2024-10-10 17:59:00,8.23,0.23,
17,70,2022-06-21,Присутній,2022-06-21 09:42:00,2022-06-21 19:56:00,8.31,0.31,
18,170,2021-03-21,Вихідний,,,0.0,0.0,Зарплата будівництво друкувати від'їзд скинути провал дальній. Уникати розлад п'ятеро ефект тютюн.
19,147,2024-06-28,Присутній,2024-06-28 10:56:00,2024-06-28 19:24:00,8.42,0.42,
