inventory_id,product_id,warehouse,record_date,quantity_on_hand,min_stock_level,max_stock_level,reorder_point,unit_cost,total_value,last_count_date,storage_location,status
1,44,Склад сировини,2024-09-17,53,21,63,31.5,2574.14,136429.41999999998,2024-09-05,Ряд 7-Стелаж 25-Позиція 5,Критичний запас
2,69,Склад матеріалів,2023-01-29,86,38,114,57.0,1864.23,160323.78,2023-01-06,Ряд 19-Стелаж 41-Позиція 6,Низький запас
3,81,Склад готової продукції,2024-05-16,2,24,72,36.0,2918.14,5836.28,2024-05-14,Ряд 18-Стелаж 29-Позиція 6,Критичний запас
4,40,Склад готової продукції,2024-01-12,5,45,135,67.5,846.69,4233.450000000001,2023-12-22,Ряд 11-Стелаж 6-Позиція 8,Низький запас
5,23,Склад готової продукції,2023-11-13,48,22,66,33.0,1221.94,58653.12,2023-10-16,Ряд 5-Стелаж 35-Позиція 5,Надлишок
6,85,Головний склад,2023-02-09,100,38,114,57.0,2867.12,286712.0,2023-01-31,Ряд 4-Стелаж 34-Позиція 8,Низький запас
7,11,Склад готової продукції,2023-05-01,19,32,96,48.0,3360.38,63847.22,2023-04-29,Ряд 11-Стелаж 50-Позиція 4,В наявності
8,33,Склад готової продукції,2024-08-15,56,31,93,46.5,190.63,10675.279999999999,2024-07-22,Ряд 1-Стелаж 1-Позиція 1,Низький запас
9,52,Головний склад,2023-01-16,41,25,75,37.5,442.56,18144.96,2023-01-05,Ряд 4-Стелаж 14-Позиція 10,В наявності
10,85,Склад готової продукції,2024-07-24,81,41,123,61.5,2867.12,232236.72,2024-07-19,Ряд 3-Стелаж 17-Позиція 1,Критичний запас
11,71,Склад готової продукції,2023-01-09,35,21,63,31.5,2516.25,88068.75,2023-01-03,Ряд 12-Стелаж 6-Позиція 10,Критичний запас
12,33,Склад сировини,2024-02-12,2,40,120,60.0,190.63,381.26,2024-02-07,Ряд 15-Стелаж 9-Позиція 9,Низький запас
13,97,Склад готової продукції,2024-02-21,12,17,51,25.5,3207.59,38491.08,2024-02-05,Ряд 15-Стелаж 9-Позиція 7,Критичний запас
14,96,Головний склад,2024-10-29,25,10,30,15.0,2924.35,73108.75,2024-10-08,Ряд 20-Стелаж 5-Позиція 1,В наявності
15,40,Склад матеріалів,2023-11-22,1,13,39,19.5,846.69,846.69,2023-11-04,Ряд 13-Стелаж 41-Позиція 10,В наявності
16,24,Склад готової продукції,2023-05-24,6,14,42,21.0,4503.49,27020.94,2023-05-23,Ряд 18-Стелаж 20-Позиція 3,В наявності
17,99,Склад сировини,2023-04-17,103,37,111,55.5,3611.05,371938.15,2023-03-25,Ряд 8-Стелаж 29-Позиція 5,В наявності
18,77,Склад готової продукції,2024-08-26,46,26,78,39.0,1204.84,55422.64,2024-08-01,Ряд 15-Стелаж 34-Позиція 9,В наявності
19,5,Склад матеріалів,2023-10-16,65,41,123,61.5,210.06,13653.9,2023-10-06,Ряд 13-Стелаж 2-Позиція 3,Критичний запас
20,18,Склад сировини,2023-03-27,36,33,99,49.5,3845.22,138427.91999999998,2023-03-17,Ряд 3-Стелаж 23-Позиція 2,Низький запас
21,3,Склад матеріалів,2023-10-08,8,25,75,37.5,3019.34,24154.72,2023-09-12,Ряд 9-Стелаж 45-Позиція 3,Низький запас
22,69,Склад сировини,2024-03-09,2,14,42,21.0,1864.23,3728.46,2024-02-25,Ряд 6-Стелаж 14-Позиція 7,Надлишок
23,99,Склад готової продукції,2024-07-09,26,48,144,72.0,3611.05,93887.3,2024-06-15,Ряд 20-Стелаж 12-Позиція 10,В наявності
24,85,Головний склад,2024-08-26,7,26,78,39.0,2867.12,20069.84,2024-08-24,Ряд 5-Стелаж 34-Позиція 1,Низький запас
25,9,Склад готової продукції,2024-06-08,1,21,63,31.5,997.17,997.17,2024-05-14,Ряд 13-Стелаж 14-Позиція 4,Низький запас
26,49,Склад матеріалів,2023-02-28,9,34,102,51.0,3084.02,27756.18,2023-02-19,Ряд 8-Стелаж 4-Позиція 4,Критичний запас
27,65,Склад сировини,2024-12-01,74,39,117,58.5,2305.35,170595.9,2024-11-22,Ряд 3-Стелаж 6-Позиція 9,Низький запас
