invoice_id,invoice_number,sale_id,customer_id,issue_date,due_date,amount,payment_terms,status,payment_date,payment_method,notes
1,INV-000001,41,123,2024-08-20,2024-10-04,139434.8175,60 днів,Оплачено,2024-09-28,Банківський переказ,
2,INV-000002,938,102,2024-11-19,2024-12-19,89365.53,30 днів,Оплачено,2024-11-24,Банківський переказ,
3,INV-000003,895,19,2023-04-13,2023-05-28,200951.18839999998,1 Передоплата,Оплачено,2023-04-23,Готівка,
4,INV-000004,459,122,2024-12-13,2025-01-27,145283.949,45 днів,Оплачено,2024-12-25,Картка,
5,INV-000005,972,25,2023-02-19,2023-04-20,73981.3074,45 днів,Оплачено,2023-04-19,Готівка,
6,INV-000006,357,100,2024-09-10,2024-10-10,446597.33640000003,1 Передоплата,Оплачено,2024-09-30,Картка,
7,INV-000007,995,100,2023-12-07,2023-12-08,433960.983,45 днів,Прострочено,,,
8,INV-000008,229,96,2023-10-01,2023-11-30,107695.1424,45 днів,Оплачено,2023-10-16,Готівка,
9,INV-000009,552,108,2024-10-16,2024-11-30,38880.092899999996,60 днів,Оплачено,2024-11-17,Готівка,
10,INV-000010,307,79,2023-01-11,2023-02-25,396448.4502,45 днів,Оплачено,2023-02-10,Картка,Покинути услати реклама художній образа призначити. В'Язниця відповідність гуляти колектив через.
11,INV-000011,633,127,2023-07-14,2023-08-28,9039.271999999999,60 днів,Оплачено,2023-08-06,Готівка,
12,INV-000012,518,6,2024-09-16,2024-09-17,12499.070800000001,1 Передоплата,Оплачено,2024-09-17,Готівка,
13,INV-000013,591,105,2024-02-17,2024-04-02,210933.3128,30 днів,Оплачено,2024-03-14,Готівка,
14,INV-000014,500,104,2023-07-28,2023-09-26,192036.55680000002,45 днів,Оплачено,2023-09-14,Банківський переказ,
15,INV-000015,513,23,2024-06-19,2024-07-19,305531.38,1 Передоплата,Оплачено,2024-07-19,Банківський переказ,
16,INV-000016,578,94,2023-05-17,2023-07-01,335305.152,30 днів,Оплачено,2023-05-24,Картка,
17,INV-000017,642,56,2023-12-18,2024-02-16,28974.834,45 днів,Оплачено,2024-01-29,Картка,
18,INV-000018,98,62,2024-06-17,2024-08-16,439233.88879999996,30 днів,Оплачено,2024-08-03,Готівка,
19,INV-000019,121,54,2023-12-19,2024-02-17,508051.3152,45 днів,Оплачено,2024-02-07,Банківський переказ,Ґудзик суглоб постійний затримати господь низький болісно досліджено.
20,INV-000020,829,16,2024-08-29,2024-10-13,446.304,30 днів,Оплачено,2024-09-21,Готівка,
21,INV-000021,700,126,2023-04-10,2023-04-11,76573.287,45 днів,Оплачено,2023-04-11,Банківський переказ,
