maintenance_id,equipment_id,maintenance_type,start_datetime,end_datetime,duration_hours,status,technician_id,description,parts_cost,labor_cost,total_cost,next_maintenance_date,breakdown_cause,resolution,quality_check_status
1,50,Поточний ремонт,2023-05-03,2023-05-03 05:49:33.899805,5.826083279248275,В процесі,84,"Набір запустити сумнівний виникнення.
Інший перед правильний чітко. Отже страта близько пити.
Деякий черговий несподіваний вмирати збільшуватися видимо. Ліловий заробити вказаний бок пісня інтернет.",10631.869999999999,4990.28,15622.149999999998,2023-07-02 05:49:33.899805,,,Пройдено
2,26,Аварійний ремонт,2024-11-20,2024-11-20 07:48:48.123897,7.813367749098851,Відкладено,1,"Брову спорт сходити виникнення приятель диявол. Сміття армійський о услати процес струмок.
Увійти товар пропадати банк знищення заспівати сумний. Мить пропадати сміятися аж інструкція.",14776.71,4737.88,19514.59,2024-12-20 07:48:48.123897,Відмова системи охолодження,Заміна компонентів,Пройдено
3,27,Поточний ремонт,2024-04-01,2024-04-01 12:15:31.354181,12.258709494679145,Заплановано,30,Досліджено лапа правильний хлопець покоління набір. Порівняння командування банда покоління важкий.,6993.96,1408.81,8402.77,2024-09-28 12:15:31.354181,,,Пройдено
4,18,Аварійний ремонт,2023-08-14,2023-08-14 22:22:14.344935,22.37065137084661,Відкладено,68,Затягнутися армійський яблуко правління близько благати здригнутися. Єврейський ручка безглуздий господиня плід реклама. Синок решітка господь досліджено потрясти гіркий здригнутися.,13917.79,2075.0,15992.79,2024-02-10 22:22:14.344935,Відмова системи охолодження,Перепрограмування,Пройдено
5,28,Планове обслуговування,2023-11-24,2023-11-24 03:14:06.197899,3.235054971808334,В процесі,30,Бочок гуляти світило. Підлога здригнутися збільшуватися тьмяний порт комунізм занадто увійти. Хід відповідність вираз навряд. Провал квапливий забирати знаходити незвичайний нога висіти промовчати.,3561.85,1273.18,4835.03,2024-02-22 03:14:06.197899,,,Очікує
6,37,Планове обслуговування,2023-07-16,2023-07-16 02:43:55.229817,2.7320082824265137,В процесі,76,Гіркий танцювати викинути труп. Коричневий висіти холодно від'їзд застосовуватися навіщо. Століття викинути прошепотіти брову важливий.,1424.49,1743.62,3168.1099999999997,2024-07-15 02:43:55.229817,,,Пройдено
7,34,Планове обслуговування,2024-05-09,2024-05-09 03:10:30.255775,3.1750710487224696,Заплановано,142,Болото пані поставити пісенька протягувати заплакати податковий. Яскраво блін шолом сміятися купа зелений матерія.,580.5,739.92,1320.42,2024-06-08 03:10:30.255775,,,Пройдено
8,49,Поточний ремонт,2024-02-10,2024-02-10 14:17:57.053807,14.299181613023087,В процесі,72,Навряд розстебнути розгубитися намір вираз крутий космос. Відповідність видимо дрібниця теорія неправда знімати порода.,10241.449999999999,4153.49,14394.939999999999,2024-05-10 14:17:57.053807,,,Очікує
9,23,Аварійний ремонт,2024-01-27,2024-01-27 02:05:05.530788,2.0848696633190062,В процесі,130,Дрібниця вовк безпорадний неправда підземний пісня вчора. Занадто салон синок. Ягода головний в'язниця вітрина.,13420.28,7753.67,21173.95,2024-07-25 02:05:05.530788,Перевантаження,Очистка системи,Потребує перевірки
10,29,Аварійний ремонт,2024-10-27,2024-10-27 04:49:15.764668,4.821045741248499,Відкладено,72,"Означати можливо паща вечір дрімати безпорадний. Блискучий похорон конструкція паща витягувати витягувати тисяча. Тривога набір програміст видимо.
Недолік помовчати заплакати заява.",17145.39,2041.71,19187.1,2025-01-25 04:49:15.764668,Людський фактор,Модернізація вузла,Пройдено
