production_id,product_id,batch_number,start_date,end_date,planned_quantity,produced_quantity,defect_quantity,employee_id,machine_id,production_line,production_cost,energy_consumption,production_status,quality_check_status
1,66,B000001,2023-10-29,2023-10-31 20:00:00,249,252,11,143,4,Лінія 4,2276.08,719.99,Завершено,Відхилено
2,68,B000002,2023-03-25,2023-03-27 19:00:00,740,685,13,145,5,Лінія 2,40402.52,577.65,В процесі,Очікує
3,97,B000003,2023-01-18,2023-01-19 15:00:00,790,868,28,154,5,Лінія 4,35738.87,719.9,Завершено,Очікує
4,8,B000004,2023-11-14,2023-11-15 22:00:00,751,765,18,123,3,Лінія 1,16897.29,595.98,Завершено,Відхилено
5,80,B000005,2023-10-27,2023-10-27 04:00:00,635,660,8,123,4,Лінія 2,42499.22,747.62,В процесі,Очікує
6,44,B000006,2023-02-25,2023-02-27 00:00:00,604,545,4,172,2,Лінія 1,42390.38,389.64,Завершено,Відхилено
7,58,B000007,2024-12-24,2024-12-24 23:00:00,593,578,28,145,5,Лінія 5,33666.85,339.34,Завершено,Відхилено
8,85,B000008,2023-03-07,2023-03-09 09:00:00,558,521,15,147,1,Лінія 3,22856.48,323.93,В процесі,Очікує
9,15,B000009,2024-05-11,2024-05-11 09:00:00,178,187,9,143,1,Лінія 4,15723.69,527.01,В процесі,Очікує
10,18,B000010,2024-12-22,2024-12-23 06:00:00,842,911,38,169,8,Лінія 3,12256.41,578.4,Заплановано,Відхилено
11,92,B000011,2023-01-29,2023-01-31 15:00:00,429,442,17,123,1,Лінія 1,2438.78,221.14,Заплановано,Пройдено
12,42,B000012,2024-01-11,2024-01-13 09:00:00,190,190,2,34,4,Лінія 2,15562.19,701.41,Заплановано,Відхилено
13,66,B000013,2023-08-11,2023-08-13 19:00:00,99,89,4,145,4,Лінія 5,24596.38,542.09,Заплановано,Відхилено
14,98,B000014,2023-08-17,2023-08-19 03:00:00,977,985,41,128,4,Лінія 2,2303.83,219.05,Заплановано,Відхилено
15,37,B000015,2024-07-23,2024-07-25 18:00:00,748,772,11,34,7,Лінія 5,5567.66,724.06,В процесі,Очікує
16,59,B000016,2024-10-08,2024-10-08 07:00:00,355,364,0,169,5,Лінія 2,38385.84,231.7,Завершено,Очікує
17,32,B000017,2023-11-10,2023-11-12 09:00:00,913,1001,20,143,2,Лінія 3,42519.57,461.45,Завершено,Пройдено
18,71,B000018,2023-11-09,2023-11-11 08:00:00,940,950,39,176,2,Лінія 3,40386.0,108.13,Завершено,Очікує
19,52,B000019,2023-02-25,2023-02-27 19:00:00,497,488,11,45,8,Лінія 1,46748.23,518.92,В процесі,Пройдено
20,49,B000020,2024-08-19,2024-08-21 16:00:00,349,378,13,80,2,Лінія 2,19863.88,435.72,Заплановано,Пройдено
21,29,B000021,2024-07-04,2024-07-06 11:00:00,572,613,5,169,3,Лінія 5,33923.81,390.34,Завершено,Очікує
22,18,B000022,2023-03-24,2023-03-24 20:00:00,625,622,4,28,9,Лінія 2,44734.45,594.88,Заплановано,Відхилено
23,92,B000023,2023-02-07,2023-02-08 05:00:00,503,455,12,169,9,Лінія 4,14017.45,412.81,Заплановано,Пройдено
24,71,B000024,2024-09-12,2024-09-14 09:00:00,792,737,2,6,1,Лінія 5,48238.99,656.95,Завершено,Пройдено
25,72,B000025,2023-01-13,2023-01-15 12:00:00,893,838,8,187,2,Лінія 1,49885.09,989.2,Заплановано,Відхилено
26,42,B000026,2023-03-12,2023-03-14 17:00:00,301,299,14,58,3,Лінія 4,36311.05,165.36,В процесі,Відхилено
27,75,B000027,2024-12-03,2024-12-04 07:00:00,215,201,7,129,4,Лінія 3,44003.84,882.65,Заплановано,Очікує
28,36,B000028,2024-07-31,2024-08-01 07:00:00,642,603,1,15,1,Лінія 3,23915.87,538.24,Заплановано,Очікує
29,80,B000029,2024-12-17,2024-12-20 00:00:00,333,363,13,74,6,Лінія 3,27250.52,746.52,Завершено,Пройдено
30,95,B000030,2023-03-10,2023-03-10 06:00:00,760,771,30,169,3,Лінія 4,12928.28,727.07,В процесі,Очікує
31,84,B000031,2024-10-28,2024-10-30 23:00:00,883,950,3,154,4,Лінія 1,28061.67,668.76,Завершено,Очікує
32,6,B000032,2023-03-29,2023-03-30 06:00:00,931,1016,36,102,9,Лінія 2,27675.39,417.01,Завершено,Відхилено
33,14,B000033,2023-03-12,2023-03-13 15:00:00,236,218,5,34,2,Лінія 5,34523.07,964.2,Завершено,Очікує
34,3,B000034,2024-11-10,2024-11-10 13:00:00,185,170,1,65,5,Лінія 1,5827.67,532.25,В процесі,Пройдено
35,14,B000035,2024-06-12,2024-06-12 07:00:00,663,610,10,49,5,Лінія 4,14798.1,871.69,Завершено,Очікує
36,94,B000036,2024-09-25,2024-09-25 10:00:00,279,289,9,102,6,Лінія 1,21383.3,728.51,Заплановано,Пройдено
37,24,B000037,2024-07-19,2024-07-19 12:00:00,454,430,9,162,7,Лінія 1,10796.43,651.76,Завершено,Очікує
38,31,B000038,2023-12-31,2024-01-02 23:00:00,467,443,0,65,3,Лінія 2,17061.51,552.6,Заплановано,Пройдено
39,31,B000039,2023-05-11,2023-05-12 18:00:00,383,396,1,102,3,Лінія 1,28323.55,158.0,В процесі,Очікує
40,26,B000040,2023-04-08,2023-04-09 09:00:00,821,747,31,80,5,Лінія 2,5630.74,545.47,Завершено,Пройдено
41,86,B000041,2023-11-09,2023-11-09 15:00:00,491,473,9,28,4,Лінія 3,44801.78,368.16,Заплановано,Відхилено
42,91,B000042,2023-10-13,2023-10-14 12:00:00,120,127,5,102,10,Лінія 4,40657.49,194.26,В процесі,Відхилено
43,59,B000043,2024-12-25,2024-12-25 12:00:00,67,68,2,123,1,Лінія 4,10406.61,868.95,В процесі,Відхилено
44,28,B000044,2024-02-12,2024-02-13 07:00:00,183,189,6,176,8,Лінія 3,8715.22,522.01,Завершено,Відхилено
45,65,B000045,2023-07-23,2023-07-25 20:00:00,950,874,22,28,1,Лінія 5,49347.55,283.01,В процесі,Пройдено
46,31,B000046,2023-04-28,2023-04-29 00:00:00,67,64,2,162,6,Лінія 2,30931.49,534.15,Заплановано,Пройдено
47,79,B000047,2024-03-23,2024-03-23 15:00:00,250,246,12,129,2,Лінія 3,30965.17,734.37,Заплановано,Очікує
48,90,B000048,2024-05-17,2024-05-18 08:00:00,179,179,2,45,9,Лінія 3,2873.0,663.05,Заплановано,Очікує
49,92,B000049,2023-05-11,2023-05-12 05:00:00,217,206,7,49,8,Лінія 1,12963.95,926.35,Завершено,Пройдено
50,40,B000050,2023-12-20,2023-12-22 04:00:00,386,352,16,154,10,Лінія 5,12124.13,626.16,Завершено,Очікує
51,44,B000051,2024-08-28,2024-08-29 16:00:00,405,370,2,123,5,Лінія 2,33444.53,595.6,В процесі,Відхилено
52,6,B000052,2023-06-12,2023-06-13 19:00:00,284,309,8,143,2,Лінія 1,10996.23,826.97,В процесі,Пройдено
53,41,B000053,2024-08-31,2024-09-01 13:00:00,241,230,4,169,10,Лінія 2,10907.37,304.07,В процесі,Пройдено
54,42,B000054,2023-02-27,2023-02-28 11:00:00,208,195,8,6,2,Лінія 3,16740.69,698.72,В процесі,Пройдено
55,54,B000055,2023-09-26,2023-09-28 23:00:00,675,671,9,45,5,Лінія 5,15152.7,355.88,Заплановано,Пройдено
56,79,B000056,2024-06-08,2024-06-09 00:00:00,923,898,23,128,7,Лінія 4,19120.47,512.89,Заплановано,Пройдено
57,52,B000057,2023-04-19,2023-04-21 18:00:00,947,1002,16,129,10,Лінія 5,43276.08,438.68,Заплановано,Пройдено
58,24,B000058,2024-04-05,2024-04-05 22:00:00,988,958,23,176,8,Лінія 1,11914.3,553.14,Завершено,Пройдено
59,37,B000059,2023-03-11,2023-03-11 06:00:00,394,359,16,28,2,Лінія 4,42008.84,469.93,В процесі,Відхилено
60,84,B000060,2024-12-21,2024-12-21 12:00:00,583,618,18,176,1,Лінія 2,4294.87,924.2,Заплановано,Відхилено
61,65,B000061,2024-10-16,2024-10-16 13:00:00,163,174,6,123,5,Лінія 2,27396.28,996.25,Заплановано,Пройдено
62,20,B000062,2023-05-14,2023-05-14 13:00:00,241,248,0,6,4,Лінія 5,13711.8,364.76,Заплановано,Пройдено
63,92,B000063,2023-02-01,2023-02-01 21:00:00,659,672,28,49,4,Лінія 5,37500.74,213.86,Завершено,Очікує
64,26,B000064,2023-03-13,2023-03-14 16:00:00,574,588,20,128,2,Лінія 3,12763.66,333.17,В процесі,Очікує
