title,price,old_price,discount_offer,image_urls,images
Apple iPhone XS Max 512GB Silver (MT572RU/A) ,117990,126990,9000,https://img.mvideo.ru/Pdb/30040030m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040030m.jpg', 'path': 'full/8c4d4f8e8e4c20a03302d021d36c0595ab58eea8.jpg', 'checksum': 'e3ecba3ec0657254f78cea93007ae7e6'}]"
Apple iPhone X 64GB Space Gray (MQAC2RU/A) ,63990,69990,6000,https://img.mvideo.ru/Pdb/30030163m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30030163m.jpg', 'path': 'full/71f2f565858955bc7e5e96238e79419869147b31.jpg', 'checksum': '3934557364e84be7527db3c3876e3daf'}]"
Apple iPhone X 64GB Silver (MQAD2RU/A) ,63990,69990,6000,https://img.mvideo.ru/Pdb/30030164m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30030164m.jpg', 'path': 'full/83005e101f7752909c311a539b9e30e93d041769.jpg', 'checksum': 'c7b16ccb25d1c3eee0fe216c19b369ba'}]"
Apple iPhone XS 256GB Gold (MT9K2RU/A) ,92990,98990,6000,https://img.mvideo.ru/Pdb/30040019m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040019m.jpg', 'path': 'full/4b46470b2bb9ea13b2230075e395b6ae34fa444a.jpg', 'checksum': '1d7eac7d0473533b5298519ab763d234'}]"
Apple iPhone XR 64GB RED (MRY62RU/A) ,59990,63990,4000,https://img.mvideo.ru/Pdb/30040034m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040034m.jpg', 'path': 'full/50bd349868e2a56fd4f373a2ae41cb5589b3e4b7.jpg', 'checksum': 'f235fbaf6e52ecae8c94925598701d06'}]"
Samsung Galaxy Note 9 128Gb Черный ,71490,nan,0,https://img.mvideo.ru/Pdb/30039468m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039468m.jpg', 'path': 'full/1d4ca16e4fe5b683b8c3310299efc16489b7bd5d.jpg', 'checksum': '03bc021abfb099a4a4a13e407136a0c1'}]"
Xiaomi Mi 8 Lite 4/64GB Midnight Black ,17990,21990,4000,https://img.mvideo.ru/Pdb/30042077m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042077m.jpg', 'path': 'full/ba96e011b97b0cf79a9f3efabeab7b9d93e21913.jpg', 'checksum': '1df9178cc44c2fca5697c9e6fa2b5dbd'}]"
Honor 7A 16Gb Black (DUA-L22) ,7490,nan,0,https://img.mvideo.ru/Pdb/30038549m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038549m.jpg', 'path': 'full/6ca03e57a72b2bba242bd6c52b894f0609380b03.jpg', 'checksum': '516eebaf1968ceec3e674f4ef73f978e'}]"
Apple iPhone 7 32Gb Black (MN8X2RU/A) ,34990,nan,0,https://img.mvideo.ru/Pdb/30026135m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30026135m.jpg', 'path': 'full/7c60f3d0fe7f5a0c56d922a6cfac88df87a38014.jpg', 'checksum': '7557b01ca2825e28807965da91e0d3a8'}]"
Honor View 20 128GB Midnight Black (PCT-L29) ,37990,nan,0,https://img.mvideo.ru/Pdb/30042281m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042281m.jpg', 'path': 'full/0781b9f9d497bcacf6840ae598928f970b988b29.jpg', 'checksum': '3ef5ae7c46f754e8f46e90c5690eda3e'}]"
Huawei P20 Pro Twilight (CLT-L29) ,39990,nan,0,https://img.mvideo.ru/Pdb/30032523m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30032523m.jpg', 'path': 'full/3449cdc05662d09c22ad5aed820f689e4fac35b3.jpg', 'checksum': '14ec8cd05e07097d1c49ee55c1af5ee5'}]"
Honor 10 Lite 32Gb Midnight Black  (HRY-LX1) ,14990,nan,0,https://img.mvideo.ru/Pdb/30042218m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042218m.jpg', 'path': 'full/804163488f091947aa610735f1ea17a35ef89242.jpg', 'checksum': '821ae13b815e85ff03d8cb966057deb6'}]"
Samsung Galaxy J2 core 8Gb Black ,5990,nan,0,https://img.mvideo.ru/Pdb/30042226m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042226m.jpg', 'path': 'full/3934bbaa1f1bf15968da7749bb8c916468fda584.jpg', 'checksum': 'fc59ac3115b57808ff33a834c444983b'}]"
Honor 7C Blue (AUM-L41) ,10990,nan,0,https://img.mvideo.ru/Pdb/30038370m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038370m.jpg', 'path': 'full/019d6f9918c40bb320013eea936fe3bee28ad632.jpg', 'checksum': '0690a4bc8102120503edf315f9baf92a'}]"
Samsung Galaxy A7 64Gb Black (SM-A750FN) ,19990,21990,2000,https://img.mvideo.ru/Pdb/30040378m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040378m.jpg', 'path': 'full/d05970a9db9926c71ff85f1de85e0b794beb48ef.jpg', 'checksum': 'cdb622dec07d383586f774e190b7f13a'}]"
Huawei Mate 20 Pro Emerald Green (LYA-L29) ,59990,77770,17780,https://img.mvideo.ru/Pdb/30040242m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040242m.jpg', 'path': 'full/0b0b96f199d145e3c8b608edae090144caf9609d.jpg', 'checksum': 'f78b311f13c1a83fd91f71f6d74e1143'}]"
Honor 7C Gold (AUM-L41) ,10990,nan,0,https://img.mvideo.ru/Pdb/30038371m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038371m.jpg', 'path': 'full/4a0c4a2c469641b8c5bafc7bbb8e2a3fc6e59199.jpg', 'checksum': '340061c37722512d7c92ae522820f629'}]"
Apple iPhone XS Max 64GB Gold (MT522RU/A) ,89990,96990,7000,https://img.mvideo.ru/Pdb/30040025m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040025m.jpg', 'path': 'full/040c1dded17f93ded7bf622df1468a2a3522e237.jpg', 'checksum': '985a0c451dc6dbb6481682e1008f401b'}]"
