,user_id,type_id,timestamp
0,DNcd8dnS,3,2019-03-28 13:58:24
1,0e9MvwGs,5,2019-03-08 17:11:59
2,boyDUG4C,5,2019-03-03 17:52:34
3,5jMA27s1,3,2019-03-16 15:18:21
4,wvtyctOK,2,2019-03-13 14:43:14
5,zvN8W1tc,8,2019-03-29 20:32:17
6,bBmybSbr,1,2019-04-08 21:37:15
7,5JX1P5G8,6,2019-04-06 12:15:20
8,pbbG3xWx,1,2019-04-09 17:30:43
9,vZWtTovT,3,2019-04-16 12:26:16
10,Z8QkS5lh,4,2019-04-12 16:13:52
11,H1yviJ5h,8,2019-04-18 10:15:21
12,jXiVC25K,7,2019-04-17 20:27:23
13,v4dOKjDS,5,2019-04-24 18:44:37
14,Bbcv3iBm,7,2019-03-23 18:50:55
15,iSDspQ8Q,3,2019-04-16 18:21:15
16,QF34wVLg,5,2019-03-03 17:52:52
17,86eCZmXh,7,2019-04-26 19:20:27
18,awqAk5rl,5,2019-03-10 11:27:15
19,KNzm1yes,3,2019-04-25 17:53:24
20,Qv0NhwTA,1,2019-03-22 19:23:41
21,gpEdus3v,5,2019-04-12 20:55:26
22,LJezc9fq,3,2019-03-12 21:23:52
23,nnaT9guH,6,2019-04-18 16:24:12
24,VwWCu1lT,5,2019-03-04 15:32:25
25,yty9HQMF,2,2019-03-02 13:44:28
26,tf2pqX9E,3,2019-03-18 16:14:35
27,bvCpkIFk,1,2019-03-17 18:28:19
28,yJtRbmmQ,6,2019-04-22 16:34:34
29,Xk2jQKeB,7,2019-04-14 18:46:49
30,0XYMMdxR,1,2019-04-02 11:40:58
31,i111MQt6,8,2019-03-04 16:36:21
32,WHzbzUpQ,6,2019-04-07 20:25:36
33,J8l5161Y,3,2019-04-03 16:37:33
34,gHX3VOAG,1,2019-03-20 11:35:59
35,ThhmtaLe,7,2019-03-15 18:17:54
36,4wc8ZM9i,5,2019-04-10 13:22:29
37,25vG2LVL,3,2019-03-01 13:15:38
38,Rwdfrccg,2,2019-04-18 14:57:56
39,d79m5wcb,1,2019-03-10 11:22:58
40,nleVvpc5,8,2019-04-11 18:58:47
41,Bv6TwmnA,6,2019-04-21 21:26:16
42,WTlRRkzn,1,2019-03-24 20:13:48
43,i68F9g8g,4,2019-04-07 10:37:12
44,FEsXXPnw,6,2019-03-09 15:24:48
45,nYcpFMjR,8,2019-03-20 14:58:35
46,MsJca10P,2,2019-03-09 15:32:19
47,3oCaXYv3,2,2019-03-21 13:39:29
48,QAveTzUh,3,2019-04-18 14:48:23
49,sg6NCrfv,5,2019-03-03 14:35:48
50,g42X5vdx,4,2019-04-01 13:38:42
51,RWhCChtW,7,2019-03-16 18:24:14
52,aNZGzFiV,3,2019-04-09 13:47:13
53,4Lj0ZBY3,5,2019-03-01 14:38:36
54,HszM3BXH,5,2019-03-01 12:35:32
55,5xxp7dhV,8,2019-04-18 16:37:44
56,mbzNWBqv,3,2019-03-11 13:42:56
57,9ZqMfUWD,4,2019-04-04 21:52:44
58,Z4bWbv2t,5,2019-03-11 15:11:27
59,yo13fesz,2,2019-03-02 12:46:16
60,yLekGxzr,2,2019-03-03 13:12:30
61,HivyEFsA,2,2019-03-19 21:32:19
62,xPXG6MGx,8,2019-04-24 11:56:26
63,OFdOPiuV,4,2019-03-19 14:11:11
64,ZNuDU9tX,6,2019-04-10 18:13:52
65,eXDxLazY,4,2019-04-13 15:52:13
66,VtAS39Ym,1,2019-04-13 20:23:34
67,oy3ZTqzy,6,2019-04-23 13:32:57
68,uxk3Co65,5,2019-03-26 16:10:16
69,kl5TtzbY,1,2019-04-14 21:41:30
70,L5W17rL6,8,2019-03-28 19:25:52
71,M7LzJL2Z,2,2019-04-14 15:37:44
72,O40iikVU,3,2019-03-18 21:27:57
73,JylNe91r,3,2019-03-13 21:44:19
74,0tDKUxPO,8,2019-04-30 14:41:55
75,1SFYynwU,8,2019-04-24 21:49:45
76,OjfRgpbW,3,2019-04-11 14:39:11
77,iyaJ3Axl,8,2019-04-05 19:38:44
